2022-11-20 00:49:23,161  INFO | restartedMain | org.apache.catalina.core.StandardEngine                | Starting Servlet engine: [Apache Tomcat/9.0.52] 
2022-11-20 00:49:23,214  INFO | restartedMain | o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]      | Initializing Spring embedded WebApplicationContext 
2022-11-20 00:49:23,215  INFO | restartedMain | o.s.b.w.s.context.ServletWebServerApplicationContext   | Root WebApplicationContext: initialization completed in 1293 ms 
2022-11-20 00:49:23,436  INFO | restartedMain | org.mongodb.driver.cluster                             | Cluster created with settings {hosts=[localhost:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms'} 
2022-11-20 00:49:23,484  INFO | cluster-ClusterId{value='6379ea13e39b6344d6e11ec9', description='null'}-localhost:27017 | org.mongodb.driver.connection                          | Opened connection [connectionId{localValue:1, serverValue:123}] to localhost:27017 
2022-11-20 00:49:23,484  INFO | cluster-rtt-ClusterId{value='6379ea13e39b6344d6e11ec9', description='null'}-localhost:27017 | org.mongodb.driver.connection                          | Opened connection [connectionId{localValue:2, serverValue:124}] to localhost:27017 
2022-11-20 00:49:23,484  INFO | cluster-ClusterId{value='6379ea13e39b6344d6e11ec9', description='null'}-localhost:27017 | org.mongodb.driver.cluster                             | Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=9, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=12854520} 
2022-11-20 00:49:23,545  INFO | restartedMain | o.s.b.devtools.autoconfigure.OptionalLiveReloadServer  | LiveReload server is running on port 35729 
2022-11-20 00:49:23,911  INFO | restartedMain | o.s.boot.actuate.endpoint.web.EndpointLinksResolver    | Exposing 1 endpoint(s) beneath base path '/actuator' 
2022-11-20 00:49:24,202  INFO | restartedMain | org.apache.coyote.http11.Http11NioProtocol             | Starting ProtocolHandler ["http-nio-8080"] 
2022-11-20 00:49:24,211  INFO | restartedMain | o.s.boot.web.embedded.tomcat.TomcatWebServer           | Tomcat started on port(s): 8080 (http) with context path '' 
2022-11-20 00:49:24,431  INFO | restartedMain | com.wju.job_portal.JobPortalApplication                | Started JobPortalApplication in 7.881 seconds (JVM running for 8.252) 
2022-11-20 00:49:32,649  INFO | http-nio-8080-exec-2 | o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]      | Initializing Spring DispatcherServlet 'dispatcherServlet' 
2022-11-20 00:49:32,649  INFO | http-nio-8080-exec-2 | org.springframework.web.servlet.DispatcherServlet      | Initializing Servlet 'dispatcherServlet' 
2022-11-20 00:49:32,650  INFO | http-nio-8080-exec-2 | org.springframework.web.servlet.DispatcherServlet      | Completed initialization in 1 ms 
2022-11-20 00:49:32,713  INFO | http-nio-8080-exec-2 | org.mongodb.driver.connection                          | Opened connection [connectionId{localValue:3, serverValue:125}] to localhost:27017 
2022-11-20 01:05:54,071  WARN | http-nio-8080-exec-9 | org.springframework.web.servlet.PageNotFound           | No mapping for GET /getPositionByCompany/DEFG%20Inc 
2022-11-20 01:05:59,414  WARN | http-nio-8080-exec-10 | org.springframework.web.servlet.PageNotFound           | No mapping for GET /getPositionsByCompany/DEFG%20Inc 
2022-11-20 01:06:04,642  WARN | http-nio-8080-exec-1 | org.springframework.web.servlet.PageNotFound           | No mapping for GET /getPositionsByCompany/DEFG%20Inc 
